Title,Price,RoomType,Area,AvgPrice,HouseAge
祥宇上品 高楼层视野无遮挡 南北通透 拎包入住,69.8,4室3厅,124,5630,2018年
富丽国际电梯两室精装修短住带物110平一中拎包入住,55.8,2室2厅,110,5073,2015年
二院对面 电梯12层 全南精装两室 73平 28.5万小议,28.5,2室1厅,73,3905,2012年
农行开发小初高一站式 小三室格局60平 南北屋北厅 独立厨房,21.8,3室1厅,60,3634,2010年
双实！验 银通国际花园 143平 三室两卫 临近矿总院,37.5,2室2厅,143,2623,2010年
婚装没住几天 没啥税 恒业七期 2室2厅 100平 可议,48,2室2厅,100,4800,2010年
电梯小高！带车库有房本！79.6 ！顺吉德尔！两室等宽精装修,64,2室2厅,94,6809,2022年
一楼带院可遇不可求的房子90多平院子看房来看48万8可议,48.8,2室2厅,130,3754,2000年
花园小区 位置好 步梯4楼 70平  两室两厅 随时看房,21.5,2室2厅,70,3072,2000年
龙畔家园一层带院带地下室房本不满二房主包税,28.5,2室1厅,58,4914,2014年
这房子太便宜了 南北等宽通厅 视野采光嘎嘎好 喜欢的快来看房,60,2室2厅,104,5770,2010年
祥宇一品 大两房 精装可拎包入住 高楼层视野无遮挡 交通便利,41.8,2室2厅,94,4447,2014年
阜新县中街位置房主诚心出售可以一元购房随时看房拼手速,29.8,2室2厅,84,3548,2008年
新出房源！紧邻万达！银通铂翠园一期电梯102平精装带物！满五,65.5,2室2厅,102,6422,2017年
  国际 电梯房 个人精装带物 拎包即住 86平 35万小议,35,2室2厅,86,4070,2014年
碧桂园海州府 电梯四层 90平 两室通厅 精装带物拎包入住。,55,2室2厅,90,6112,2017年
2.5万先拿买正阳馨居多层72平精装带家电,26.5,2室1厅,72.11,3675,2016年
个人婚房 啥都带 正阳馨居 电梯5层74平36万可议能贷款,36,2室2厅,74,4865,2010年
特别合适 祥宇上品 三室格局 精装修 带物 电梯7楼 有车位,80,3室2厅,130,6154,2019年
想买一层带院的看这里 金羽小区 80平一层带院 38万可贷款,38,2室2厅,80,4750,2013年
祥宇上品电梯2层122平 简装带地下室74万可议,74,2室2厅,122,6066,2013年
  华府2期81平两室两厅一卫采光好南北通透赠露台34.6万,34.6,2室2厅,80.95,4275,2023年
  城华府三室一卫，115平，6.9 宽境阳台，毛坯,48.6,3室2厅,115,4227,2015年
3开头住康桥水郡3室步梯房精装短住采光视线好,36.5,3室1厅,91,4011,2017年
祥宇一品 步梯 6层带阁楼 急售 通厅 一中,31.8,3室3厅,94,3383,2008年
看过来，中华路十一中，精装修未入住，支持贷款，随时能看。,28.8,2室1厅,73,3946,2002年
龙泽雅苑电梯11层110平两室通厅精装未住带家具家电房本满五,55.8,2室2厅,110,5073,2016年
